node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
02d4531a2f2e6e5a9033d37d548cff4834a3898e74c3abe1985b493c42ebbd707d,4.800000000000001,3,0.3333333333333333,0.0,0.0
03f47ba61341a704b0910b6d1fc8a938bb97152e8df94dfc142816d2721b5d5c73,4.800000000000001,3,1.0,0.0,0.0
024bd94f0425590434538fd21d4e58982f7e9cfd8f339205a73deb9c0e0341f5bd,4.800000000000001,3,0.0,172.9,169.7
029b71b8186914267ea59cb081c43ad1aeb874b5a185a4e5b2d56303f89dd8aa0d,4.800000000000001,3,0.0,0.0,0.0
038d0543c2f838fc6229bd7b80df46d8bad9f30c874ee3ac4578c4ce6f57956f08,4.800000000000001,3,1.0,0.0,0.0
0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,4.800000000000001,3,0.0,118.34,115.14
03c978c9181ac634ca7fc2ba65c4672be5a36b564460bee574ba17bb1653ae6abb,4.800000000000001,3,0.0,0.0,0.0
029cf833ceef83b31b2e202d46c99c2dc9b5fa56259d8b84d128ee37e65e4e96d3,4.800000000000001,3,0.0,58.4,55.2
02b67e8e5cdb3d80dc38736ec0f6378b6199a99d769aeded2c3460f548de8822d9,4.800000000000001,3,0.0,0.0,0.0
033613d280de1eba995c7545e93caf76cfba41bef88c2d6732a67ce06c168b3acb,4.800000000000001,3,0.0,51.72,101.84
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,4.545,9,1.0,0.0,0.0
0279f930a60afe43131fd3328ff4a9c55293254c328f45e76695c1ab9b3c5a68b2,4.24,4,0.5,570.5,1710.44
038b36a43c38f75cd15bb25394f1cd162f717df005585229182e62620db9d3f3ea,4.24,4,0.75,11.69,46.76
0384d130bfd760b6e9e1155963558367533552ef971563a72c6c5cb117af9db93d,4.24,4,0.25,58.27,114.42000000000002
021779d56f6992431e959991a664d678a2f41054073adb48c5a351d791c9cb0781,4.24,4,0.0,5.94,2.76
034e2d76ccc789e7a79c4fc395a1f5810d614a361df7daf0b4647f976eae932d4f,4.24,4,0.5,0.0,0.0
030a400157099427f49f5001115bed4bdf82c7b98c904375ed0c7bd7ffd29273d7,4.24,4,0.0,58.94,55.76
020de548b86e373e795e37343c9ef6f972d45ade479cc71ed5a9a7dac2588d0a37,4.24,4,0.0,58.94,175.76
031d244a60d61936834f290656cdf0ed4b9979260c19b07804bde681819f8e14ca,4.24,4,0.75,0.0,0.0
031157d786ca2fb7b86f330366db3e0bb6925b336d285ed40705976eaa68ead610,4.24,4,1.0,0.0,0.0
022df3659d511f156e3ee91ef608a095ce3399234d374c7105356a36a904469372,4.24,4,1.0,0.0,0.0
03f6909c9c7f32df56567e7b8169c58dde716d341dc714b1596e3f4d5d647476d1,4.24,4,0.0,29.43,117.72
0204a2b95b4c208383d7f02e741a8bfd5b5b7e8bea8d1543b1255da8342d9f2c6b,4.24,4,0.0,35.38,68.64000000000001
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,4.24,4,0.0,28.44,25.259999999999998
026c7d28784791a4b31a64eb34d9ab01552055b795919165e6ae886de637632efb,4.24,4,0.0,149.94,146.76
